source_keyword,related_keyword,popularity,competitiveness,total_results
book tracker,reading,55,98,
book tracker,goodreads,65,95,
book tracker,reading list,7,71,
book tracker,donkey republic,44,50,
book tracker,book journal,6,77,
book tracker,reading journal,5,69,
book tracker,book reading tracker,9,73,
book tracker,bookmory,46,68,
book tracker,reading tracker,8,69,
book tracker,book tracker plus,5,51,
