source_keyword,related_keyword,popularity,competitiveness
parking finder,rest stop finder,18,68
parking finder,free parking,18,—
parking finder,parking apps,16,78
parking finder,parking spot tracker,5,86
parking finder,find my parked car,5,55
parking finder,car locator,5,53
parking finder,parking reminder,5,55
