source_keyword,related_keyword,popularity,competitiveness,total_results
75 hard,habit tracker,58,79,
75 hard,streaks,48,85,
75 hard,challenge,6,62,
75 hard,75 hard challenge,44,52,
75 hard,Andy Frisella,5,40,
75 hard,75 soft,6,60,
75 hard,75 day,5,56,
75 hard,30 hard,5,48,
