source_keyword,related_keyword,popularity,competitiveness
makeup try on,makeup tutorial,5,66
makeup try on,makeup tips,5,50
makeup try on,makeup inventory,5,60
makeup try on,virtual makeup,5,85
makeup try on,beauty app,5,73
makeup try on,pret a makeup,7,59
