source_keyword,related_keyword,popularity,competitiveness,total_results
envelope budget,budget envelope,5,64,
envelope budget,budget envelopes,5,71,
envelope budget,envelope budgetting,5,40,
envelope budget,easy budget,5,71,
envelope budget,manual budget,5,65,
envelope budget,envelope budgeting app,5,57,
envelope budget,how to budget,5,74,
envelope budget,real budget,5,67,
envelope budget,budget maker,5,63,
envelope budget,bi weekly budget,5,59,
envelope budget,envelope budget planner,5,62,
