source_keyword,related_keyword,popularity,competitiveness
umrah,nusuk,47,59
umrah,namaz times,21,54
umrah,musulman,20,62
umrah,ummah,14,57
umrah,murka,16,63
umrah,tawakkalna,9,86
umrah,hajj and umrah guide,5,40
umrah,surah yaseen,5,56
umrah,inshallah,6,60
