source_keyword,related_keyword,popularity,competitiveness
bill reminder,bill organizer,53,85
bill reminder,bill tracker,32,81
bill reminder,bill calendar,24,57
bill reminder,bills,8,91
bill reminder,payment tracker,5,64
bill reminder,monthly bill reminder,5,52
bill reminder,bill pay reminder organizer,5,44
