source_keyword,related_keyword,popularity,competitiveness,total_results
grief,gtief,5,42,
grief,grief relief,5,25,
grief,Grief Support,5,54,
grief,bereavement,5,49,
grief,grieving,5,46,
grief,grief counseling,5,40,
