source_keyword,related_keyword,popularity,competitiveness,total_results
prayer journal,echo prayer,22,69,
prayer journal,prayer reminder,5,69,
prayer journal,prayermate,21,47,
prayer journal,prayer journal app,25,45,
prayer journal,glorify,46,91,
prayer journal,pray first,5,87,
prayer journal,christian prayer journal,5,42,
prayer journal,private prayer journal,5,42,
prayer journal,prayer prompts journal,5,48,
prayer journal,guided prayer journal,5,68,
prayer journal,men prayer journal,5,65,
