source_keyword,related_keyword,popularity,competitiveness
screen time,app blocker,49,80
screen time,appblock,43,67
screen time,one sec,50,63
screen time,screen zen,48,70
screen time,be present,54,73
screen time,minimalist phone,49,63
screen time,screen time control,50,80
screen time,appblock,43,67
screen time,block apps,8,72
screen time,flipd,5,60
screen time,stay focused,9,75
screen time,quality time,5,58
