source_keyword,related_keyword,popularity,competitiveness,total_results
passport photo,passport,53,70,
passport photo,passport photo editor,5,53,
passport photo,quick pic,7,48,
passport photo,passport photo maker,43,56,
passport photo,pasaporte,5,60,
passport photo,idphoto,5,50,
passport photo,id passport photo,5,34,
