source_keyword,related_keyword,popularity,competitiveness
meme maker,meme soundboard,53,68
meme maker,batak online,41,49
meme maker,cricut design space,61,100
meme maker,meme maker free,23,82
meme maker,add text to photos,5,100
meme maker,create meme,5,88
meme maker,meme game,5,60
