source_keyword,related_keyword,popularity,competitiveness,total_results
adhd women,adult adhd,5,54,
adhd women,adhd adult,5,52,
adhd women,adhd helper,5,50,
adhd women,inflow adhd,26,82,
adhd women,ADHD self care,5,81,
adhd women,adhd help,5,60,
adhd women,adhd support,5,65,
adhd women,adhd coach,5,54,
adhd women,adhd tools,5,76,
adhd women,adhd quiz,5,43,
adhd women,adhd executive function,5,47,
adhd women,adhd chaos,5,40,
adhd women,free adhd app,5,50,
