source_keyword,related_keyword,popularity,competitiveness,total_results
voice changer,parrot,52,78,
voice changer,call voice changer,8,52,
voice changer,video voice changer,9,54,
voice changer,celebrity voice changer parody,5,40,
voice changer,ai voice,8,73,
