keyword,popularity,competitiveness
spades *,5,58
spades*,5,53
spads,5,68
spades+,5,79
spades free,50,79
spades friends,5,68
beginner spades,5,NA
free spade,5,79
free spades,5,80
online spades,5,71
spades plus,55,76
spades free card game,5,72
free spades games,5,76
fun spades,5,NA
spades classic card game,35,79
spaced,5,84
spades game,13,80
families book spades,5,NA
spades royale,30,74
spades score,5,55
spades masters,5,58
spares,5,71
bid spades,5,60
Spades Club,5,82
spades scorekeeper,5,44
