source_keyword,related_keyword,popularity,competitiveness,total_results
house design,house,52,94,
house design,house flip,6,61,
house design,home design,53,76,
house design,house planner,9,64,
house design,home designer,5,64,
house design,home decor,8,84,
house design,decor,6,94,
house design,decoration,32,72,
house design,maison,50,67,
house design,property brothers,5,66,
house design,design home house makeover,5,54,
house design,home redesign,5,67,
house design,room redesign,5,70,
