source_keyword,related_keyword,popularity,competitiveness,total_results
language learning,language,49,98,
language learning,english,48,100,
language learning,memrise,54,93,
language learning,hello talk,55,92,
language learning,drops,49,96,
language learning,innovative,5,55,
language learning,pimsleur,57,92,
language learning,sprachen lernen,54,95,
language learning,sprachen lernen kostenlos,42,87,
language learning,lingvist,9,90,
language learning,learn languages,5,86,
