source_keyword,related_keyword,popularity,competitiveness
ev charging map,electric car charging,31,53
ev charging map,electric car charging stations,20,56
ev charging map,find ev chargers,5,44
ev charging map,ev charging stations for drivers,5,55
ev charging map,ev charger map,5,70
ev charging map,charging stations,6,67
