source_keyword,related_keyword,popularity,competitiveness
fuel tracker,fuelly,8,59
fuel tracker,gas tracker,5,62
fuel tracker,fuel consumption tracker,5,57
fuel tracker,fuel economy tracker,5,54
fuel tracker,fuel log,5,64
fuel tracker,fuel mileage tracker,5,62
