source_keyword,related_keyword,popularity,competitiveness
debt snowball,debt payoff,5,80
debt snowball,get out of debt,5,93
debt snowball,debt snowball calculator,5,69
debt snowball,debt planner,5,70
debt snowball,debt manager,5,70
debt snowball,debt management,5,64
debt snowball,debt optimizer,5,47
debt snowball,debt payoff tracker,5,70
